,Producto,Rolling Forecast RMSE,RMSE
0,VER0049,1.2817398889233114,1.6428571428571428
1,FRU0024,4.340835995848858,18.84285714285714
2,VER0041,1.4638501094227998,2.142857142857143
3,VER0038,6.6783231428256,44.6
4,VER0010,4.792851820307881,22.97142857142857
5,VER0052,8.953052153156646,80.15714285714286
6,TUB0012,3.340230958652838,11.157142857142857
7,VER0050,1.61245154965971,2.6
8,VER0043,0.4629100498862757,0.21428571428571427
9,VER0028,6.366205418345487,40.52857142857143
10,VER0020,0.35856858280031806,0.12857142857142856
11,VER0017,1.7687768170607134,3.1285714285714286
12,VER0016,2.632217967526897,6.928571428571429
13,VER0013,6.375175067624194,40.642857142857146
14,VER0007,3.056608765095256,9.342857142857143
